,first_party,pageref,third_party,http_method,startedDateTime,leak_method,encoding,plain_pii,raw_pii,where,key,value,mimeType,text,index
0,,,,,,,,,,,,,,,
1,carrentals.com,,,,,,,,,,,,,,
2,carrentals.com,https://www.carrentals.com/user/create-account,dpm.demdex.net,GET,2023-02-26T03:44:30.492Z,get,sha256,rogernadal322@gmail.com,,value,d_cid_ic,hashemleba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e80391,,,8
3,carrentals.com,https://www.carrentals.com/user/create-account,oms.expedia.com,POST,2023-02-26T03:44:30.494Z,post,sha256,rogernadal322@gmail.com,,body,,,text/plain;charset=UTF-8,AQB=1&ndh=1&pf=1&et=1&t=25%2F1%2F2023%2021%3A44%3A30%206%20360&cid.&hasheml.&id=eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039&as=1&.hasheml&.cid&mid=05819770015327380374496959349140763789&aamlh=7&ce=UTF-8&cdp=2&fpCookieDomainPeriods=2&pageName=Homepage&g=http%3A%2F%2Fwww.carrentals.com%2F%3Fmtype%3D4%26rfrr%3DAccount.Create.FullAccount.Success&r=https%3A%2F%2Fwww.carrentals.com%2Fuser%2Fcreateaccount%3F%2520%26uurl%3De3id%253Dredr%2526rurl%253D%252F&cc=USD&ch=unclassified&server=www.carrentals.com&v0=Brand.DTI&events=event151&aamb=j8Odv6LonN4r3an7LhD3WZrU1bUpAkFkkiY1ncBR96t2PTI&l1=carrentals.24904.0.0%7Ccarrentals.39133.113196.1&c2=unclassified.10&v2=unclassified&c10=05119753-1ec8-4343-b7f6-ce80936486e5&v10=Brand.DTI&c11=328967904&c12=e7cd325a-b195-47ee-b21f-803b1b9577e8&v12=NA&c13=808567295&v13=NA&c14=eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039&v14=NA&v15=NA&c16=Account.Create.FullAccount.Success&v16=NA&v17=Homepage&v18=D%3DpageName&v19=NA&v20=true%7CGDPR%7Cset%3Dfalse%7CyesSelected%3Dfalse%2Ctrue%7CCCPA%7Cset%3Dfalse%7CyesSelected%3Dfalse&c21=page.Account.CreateAccount&v21=NA&v23=1&v26=NA&v28=Account.Create.FullAccount.Success&c31=flex&c32=bed08b13-8ca3-4002-8946-545411b2275c%7C1677383030%7Ccarrentals.com&v36=NA&c41=unknown&c50=PLATFORM-ANALYTICS-PRIME-JAVA%208.0.4%7CPLATFORM-ANALYTICS-PRIME-JS%201.11.0&v50=web&v54=1033&v55=AUTHENTICATED%20%7C%20full%20%7C%20email&c58=70801-en_US-CR_EN_US_Storefront_Home&c60=320-491&v61=carrentals.com&v70=70801-0&v76=true%7CGDPR%7Cset%3Dfalse%7CyesSelected%3Dfalse%2Ctrue%7CCCPA%7Cset%3Dfalse%7CyesSelected%3Dfalse&v80=Mozilla%2F5.0%20%28X11%3B%20Fedora%3B%20Linux%20x86_64%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F110.0.0.0%20Safari%2F537.36&s=1536x864&c=24&j=1.6&v=N&k=Y&bw=1536&bh=564&mcorgid=C00802BE5330A8350A490D4C%40AdobeOrg&AQE=1,80
4,carrentals.com,https://www.carrentals.com/user/create-account,oms.expedia.com,POST,2023-02-26T03:44:30.494Z,post,sha256,rogernadal322@gmail.com,,body,,,text/plain;charset=UTF-8,AQB=1&ndh=1&pf=1&et=1&t=25%2F1%2F2023%2021%3A44%3A30%206%20360&cid.&hasheml.&id=eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039&as=1&.hasheml&.cid&mid=05819770015327380374496959349140763789&aamlh=7&ce=UTF-8&cdp=2&fpCookieDomainPeriods=2&pageName=Homepage&g=http%3A%2F%2Fwww.carrentals.com%2F%3Fmtype%3D4%26rfrr%3DAccount.Create.FullAccount.Success&r=https%3A%2F%2Fwww.carrentals.com%2Fuser%2Fcreateaccount%3F%2520%26uurl%3De3id%253Dredr%2526rurl%253D%252F&cc=USD&ch=unclassified&server=www.carrentals.com&v0=Brand.DTI&events=event151&aamb=j8Odv6LonN4r3an7LhD3WZrU1bUpAkFkkiY1ncBR96t2PTI&l1=carrentals.24904.0.0%7Ccarrentals.39133.113196.1&c2=unclassified.10&v2=unclassified&c10=05119753-1ec8-4343-b7f6-ce80936486e5&v10=Brand.DTI&c11=328967904&c12=e7cd325a-b195-47ee-b21f-803b1b9577e8&v12=NA&c13=808567295&v13=NA&c14=eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039&v14=NA&v15=NA&c16=Account.Create.FullAccount.Success&v16=NA&v17=Homepage&v18=D%3DpageName&v19=NA&v20=true%7CGDPR%7Cset%3Dfalse%7CyesSelected%3Dfalse%2Ctrue%7CCCPA%7Cset%3Dfalse%7CyesSelected%3Dfalse&c21=page.Account.CreateAccount&v21=NA&v23=1&v26=NA&v28=Account.Create.FullAccount.Success&c31=flex&c32=bed08b13-8ca3-4002-8946-545411b2275c%7C1677383030%7Ccarrentals.com&v36=NA&c41=unknown&c50=PLATFORM-ANALYTICS-PRIME-JAVA%208.0.4%7CPLATFORM-ANALYTICS-PRIME-JS%201.11.0&v50=web&v54=1033&v55=AUTHENTICATED%20%7C%20full%20%7C%20email&c58=70801-en_US-CR_EN_US_Storefront_Home&c60=320-491&v61=carrentals.com&v70=70801-0&v76=true%7CGDPR%7Cset%3Dfalse%7CyesSelected%3Dfalse%2Ctrue%7CCCPA%7Cset%3Dfalse%7CyesSelected%3Dfalse&v80=Mozilla%2F5.0%20%28X11%3B%20Fedora%3B%20Linux%20x86_64%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F110.0.0.0%20Safari%2F537.36&s=1536x864&c=24&j=1.6&v=N&k=Y&bw=1536&bh=564&mcorgid=C00802BE5330A8350A490D4C%40AdobeOrg&AQE=1,833
5,carrentals.com,https://www.carrentals.com/user/create-account,www.trvl-px.com,POST,2023-02-26T03:44:30.718Z,get,sha256,rogernadal322@gmail.com,,value,emailHash,eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039,,,0
6,carrentals.com,https://www.carrentals.com/,oms.expedia.com,POST,2023-02-26T03:44:47.430Z,post,sha256,rogernadal322@gmail.com,,body,,,text/plain;charset=UTF-8,AQB=1&ndh=1&pf=1&et=1&t=25%2F1%2F2023%2021%3A44%3A47%206%20360&cid.&hasheml.&id=eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039&as=1&.hasheml&.cid&mid=05819770015327380374496959349140763789&aamlh=7&ce=UTF-8&cdp=2&fpCookieDomainPeriods=2&pageName=Homepage&g=http%3A%2F%2Fwww.carrentals.com%2F&r=https%3A%2F%2Fwww.carrentals.com%2Fcarsearch%3Flocn%3DLos%2BAngeles%252C%2BCA%252C%2BUnited%2BStates%2B%2528LAX-Los%2BAngeles%2BIntl.%2529%26loc2%3DLos%2BAngeles%252C%2BCA%252C%2BUnited%2BStates%2B%2528LAX-Los%2BAngeles%2BIntl.%2529%26vend%3D%26pickupIATACode%3DLAX%26dpln%3D5783884%26returnIATACode%3DLAX%26drid1%3D5783884%26time1%3D1030AM%26time2%3D1030AM%26dagv%3D1%26subm%3D1%26fdrp%3D0%26ttyp%3D2%26acop%3D2%26rdus%3D10%26rdct%3D1%26styp%3D4&cc=USD&ch=unclassified&server=www.carrentals.com&v0=Brand.DTI&events=event151&aamb=j8Odv6LonN4r3an7LhD3WZrU1bUpAkFkkiY1ncBR96t2PTI&l1=carrentals.24904.0.0%7Ccarrentals.39133.113196.1&c2=unclassified.10&v2=unclassified&c10=06e5a3bb-2b3d-4866-8730-bf4e66638334&v10=Brand.DTI&c11=328967904&c12=e7cd325a-b195-47ee-b21f-803b1b9577e8&v12=NA&c13=808567295&v13=NA&c14=eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039&v14=NA&v15=NA&v16=NA&v17=Homepage&v18=D%3DpageName&v19=NA&v20=true%7CGDPR%7Cset%3Dfalse%7CyesSelected%3Dfalse%2Ctrue%7CCCPA%7Cset%3Dfalse%7CyesSelected%3Dfalse&c21=page.Car-Search&v21=NA&v23=1&v26=NA&c31=flex&c32=bed08b13-8ca3-4002-8946-545411b2275c%7C1677383030%7Ccarrentals.com&v36=NA&c41=unknown&c50=PLATFORM-ANALYTICS-PRIME-JAVA%208.0.4%7CPLATFORM-ANALYTICS-PRIME-JS%201.11.0&v50=web&v54=1033&v55=AUTHENTICATED%20%7C%20full%20%7C%20email&c58=70801-en_US-CR_EN_US_Storefront_Home&c60=320-491&v61=carrentals.com&v70=70801-0&v76=true%7CGDPR%7Cset%3Dfalse%7CyesSelected%3Dfalse%2Ctrue%7CCCPA%7Cset%3Dfalse%7CyesSelected%3Dfalse&v80=Mozilla%2F5.0%20%28X11%3B%20Fedora%3B%20Linux%20x86_64%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F110.0.0.0%20Safari%2F537.36&s=1536x864&c=24&j=1.6&v=N&k=Y&bw=1536&bh=564&mcorgid=C00802BE5330A8350A490D4C%40AdobeOrg&AQE=1,80
7,carrentals.com,https://www.carrentals.com/,oms.expedia.com,POST,2023-02-26T03:44:47.430Z,post,sha256,rogernadal322@gmail.com,,body,,,text/plain;charset=UTF-8,AQB=1&ndh=1&pf=1&et=1&t=25%2F1%2F2023%2021%3A44%3A47%206%20360&cid.&hasheml.&id=eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039&as=1&.hasheml&.cid&mid=05819770015327380374496959349140763789&aamlh=7&ce=UTF-8&cdp=2&fpCookieDomainPeriods=2&pageName=Homepage&g=http%3A%2F%2Fwww.carrentals.com%2F&r=https%3A%2F%2Fwww.carrentals.com%2Fcarsearch%3Flocn%3DLos%2BAngeles%252C%2BCA%252C%2BUnited%2BStates%2B%2528LAX-Los%2BAngeles%2BIntl.%2529%26loc2%3DLos%2BAngeles%252C%2BCA%252C%2BUnited%2BStates%2B%2528LAX-Los%2BAngeles%2BIntl.%2529%26vend%3D%26pickupIATACode%3DLAX%26dpln%3D5783884%26returnIATACode%3DLAX%26drid1%3D5783884%26time1%3D1030AM%26time2%3D1030AM%26dagv%3D1%26subm%3D1%26fdrp%3D0%26ttyp%3D2%26acop%3D2%26rdus%3D10%26rdct%3D1%26styp%3D4&cc=USD&ch=unclassified&server=www.carrentals.com&v0=Brand.DTI&events=event151&aamb=j8Odv6LonN4r3an7LhD3WZrU1bUpAkFkkiY1ncBR96t2PTI&l1=carrentals.24904.0.0%7Ccarrentals.39133.113196.1&c2=unclassified.10&v2=unclassified&c10=06e5a3bb-2b3d-4866-8730-bf4e66638334&v10=Brand.DTI&c11=328967904&c12=e7cd325a-b195-47ee-b21f-803b1b9577e8&v12=NA&c13=808567295&v13=NA&c14=eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039&v14=NA&v15=NA&v16=NA&v17=Homepage&v18=D%3DpageName&v19=NA&v20=true%7CGDPR%7Cset%3Dfalse%7CyesSelected%3Dfalse%2Ctrue%7CCCPA%7Cset%3Dfalse%7CyesSelected%3Dfalse&c21=page.Car-Search&v21=NA&v23=1&v26=NA&c31=flex&c32=bed08b13-8ca3-4002-8946-545411b2275c%7C1677383030%7Ccarrentals.com&v36=NA&c41=unknown&c50=PLATFORM-ANALYTICS-PRIME-JAVA%208.0.4%7CPLATFORM-ANALYTICS-PRIME-JS%201.11.0&v50=web&v54=1033&v55=AUTHENTICATED%20%7C%20full%20%7C%20email&c58=70801-en_US-CR_EN_US_Storefront_Home&c60=320-491&v61=carrentals.com&v70=70801-0&v76=true%7CGDPR%7Cset%3Dfalse%7CyesSelected%3Dfalse%2Ctrue%7CCCPA%7Cset%3Dfalse%7CyesSelected%3Dfalse&v80=Mozilla%2F5.0%20%28X11%3B%20Fedora%3B%20Linux%20x86_64%29%20AppleWebKit%2F537.36%20%28KHTML%2C%20like%20Gecko%29%20Chrome%2F110.0.0.0%20Safari%2F537.36&s=1536x864&c=24&j=1.6&v=N&k=Y&bw=1536&bh=564&mcorgid=C00802BE5330A8350A490D4C%40AdobeOrg&AQE=1,1118
8,carrentals.com,https://www.carrentals.com/,www.trvl-px.com,POST,2023-02-26T03:44:47.611Z,get,sha256,rogernadal322@gmail.com,,value,emailHash,eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039,,,0
9,booking.com,,,,,,,,,,,,,,
