thewrap.com/, entertainment, yes, yes, roger, hashing, post, www.googleapis.com, requires_authentication
thewrap.com/, entertainment, yes, yes, 4387134784cf3aa4245b7fcf4ac045d0a449524e98ba5dab4955ff4631e89df9, hashing, get, www.facebook.com, requires_authentication
thewrap.com/, entertainment, yes, yes, nadal, hashing, post, www.googleapis.com, requires_authentication
thewrap.com/, entertainment, yes, yes, d25f53f62e6bbd6d63180b1048c19ec336fe6649ecdf5d18a31c2149d450a161, hashing, get, www.facebook.com, requires_authentication
thewrap.com/, entertainment, yes, yes, rogernadal, hashing, post, www.googleapis.com, requires_authentication
thewrap.com/, entertainment, yes, yes, rogernadal322, hashing, post, www.googleapis.com, requires_authentication
thewrap.com/, entertainment, yes, yes, rogernadal322@gmail.com, hashing, post, www.googleapis.com, requires_authentication
thewrap.com/, entertainment, yes, yes, b47b636ac3fcb606572fe960f38b703f, hashing, get, www.gravatar.com, requires_authentication
thewrap.com/, entertainment, yes, yes, eba23eb9253d668bc24763ce39c4a3b51c5cdd8fd25b1c680cbd0cf2294e8039, hashing, get, www.facebook.com, requires_authentication
thewrap.com/, entertainment, yes, yes, 123Andy#!000, hashing, post, www.googleapis.com, requires_authentication
thewrap.com/, entertainment, yes, yes, 60201, hashing, get, va6-bid.adsrvr.org, requires_authentication
thewrap.com/, entertainment, yes, yes, 60201, hashing, get, ad.doubleclick.net, requires_authentication
thewrap.com/, entertainment, yes, yes, 60201, hashing, get, tps.doubleverify.com, requires_authentication
thewrap.com/, entertainment, yes, yes, 60201, hashing, post, hbopenbid.pubmatic.com, requires_authentication
thewrap.com/, entertainment, yes, yes, Evanston, hashing, post, hbopenbid.pubmatic.com, requires_authentication
