,first_party,pageref,third_party,http_method,leak_method,encoding,plain_pii,raw_pii,where,key,value
0,,,,,,,,,,,
1,roblox.com,,,,,,,,,,
2,steamcommunity.com,,,,,,,,,,
3,itch.io,,,,,,,,,,
4,lichess.org,,,,,,,,,,
5,worldoftanks.com,,,,,,,,,,
6,worldoftanks.com,http://rdr.wargaming.net/lv7keumo/?pub_id=cmenu_direct&utm_source=global-nav&utm_medium=link&utm_campaign=wgnp&_gl=1*143sil*_gcl_au*ODkzNDE0Mi4xNjk1MTg3ODEw*_ga*MTg4ODIxNzQ4Ni4xNjk1MTg3ODEz*_ga_BWRKLL4HR5*MTY5NTE4NzgxMi4xLjAuMTY5NTE4NzgxMi4wLjAuMA..&_ga=2.203377686.648449583.1695187813-1888217486.1695187813,na.wargaming.net,POST,header,plaintext,roger,,value,value,/personal/account/nicknames/rogernadal322/
7,worldoftanks.com,http://rdr.wargaming.net/lv7keumo/?pub_id=cmenu_direct&utm_source=global-nav&utm_medium=link&utm_campaign=wgnp&_gl=1*143sil*_gcl_au*ODkzNDE0Mi4xNjk1MTg3ODEw*_ga*MTg4ODIxNzQ4Ni4xNjk1MTg3ODEz*_ga_BWRKLL4HR5*MTY5NTE4NzgxMi4xLjAuMTY5NTE4NzgxMi4wLjAuMA..&_ga=2.203377686.648449583.1695187813-1888217486.1695187813,na.wargaming.net,POST,header,plaintext,nadal,,value,value,/personal/account/nicknames/rogernadal322/
8,worldoftanks.com,http://rdr.wargaming.net/lv7keumo/?pub_id=cmenu_direct&utm_source=global-nav&utm_medium=link&utm_campaign=wgnp&_gl=1*143sil*_gcl_au*ODkzNDE0Mi4xNjk1MTg3ODEw*_ga*MTg4ODIxNzQ4Ni4xNjk1MTg3ODEz*_ga_BWRKLL4HR5*MTY5NTE4NzgxMi4xLjAuMTY5NTE4NzgxMi4wLjAuMA..&_ga=2.203377686.648449583.1695187813-1888217486.1695187813,na.wargaming.net,POST,header,plaintext,rogernadal,,value,value,/personal/account/nicknames/rogernadal322/
9,worldoftanks.com,http://rdr.wargaming.net/lv7keumo/?pub_id=cmenu_direct&utm_source=global-nav&utm_medium=link&utm_campaign=wgnp&_gl=1*143sil*_gcl_au*ODkzNDE0Mi4xNjk1MTg3ODEw*_ga*MTg4ODIxNzQ4Ni4xNjk1MTg3ODEz*_ga_BWRKLL4HR5*MTY5NTE4NzgxMi4xLjAuMTY5NTE4NzgxMi4wLjAuMA..&_ga=2.203377686.648449583.1695187813-1888217486.1695187813,na.wargaming.net,POST,header,plaintext,rogernadal322,,value,value,/personal/account/nicknames/rogernadal322/
